Date,Symbol,Name_of_Company,VGM_Ratings,Value,Growth,Momentum,Low_Risk,Sector,Industry,Open,High,Low,Close,Prev_Close,Change,Change%,Volume,Avg_Vol_20D,52_Week_High,52_Week_Low,1W_Return,1M_Return,3M_Return,6M_Return,YTD_Performance,1Y_Return,Marketcap,PB_Ratio,PS_Ratio,PE_Ratio,Dividend_Yield,Price-to-Free-Cash-Flow_Ratio,FCF_Yield,EV-to-EBITDA,Revenue_Growth,EPS_Growth,Operating_Income_Growth,FCF_Growth,Asset_Growth,ROE,ROCE,Short_Term_Momentum,Medium_Term_Momentum,Long_Term_Momentum,Short_Term_Industry_Momentum,Medium_Term_Industry_Momentum,Long_Term_Industry_Momentum
2024-10-21,NECB,NorthEast Community Bancorp Inc,10,8,8,10,7,Financial Services,Banks - Regional,28.76,28.99,27.5,27.73,28.37,-0.64,-2.26,105300,112675.0,28.99,13.93,1.58,25.7,63.5,64.77,56.05,114.3,362819320.0,3.0,3.0,3.0,2.5,3.0,3.0,0.0,3.0,3.0,2.5,0.0,3.0,3.5,3.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-10-21,IDCC,InterDigital Inc,10,8,10,10,8,Technology,Software - Application,154.2,155.39,153.2,155.16,154.17,0.99,0.64,404800,374920.0,157.5,74.65,-0.1,18.22,32.05,50.77,46.02,82.58,3913638820.0,3.0,3.0,2.5,3.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,3.5,3.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-10-21,NATH,Nathan's Famous Inc,10,5,10,9,8,Consumer Cyclical,Restaurants,87.95,88.52,85.31,85.31,87.39,-2.08,-2.38,13100,10230.0,89.1,62.83,1.49,10.65,23.64,27.71,10.85,19.78,348491350.0,0.0,3.0,2.5,2.0,2.5,3.0,3.0,3.5,3.0,3.0,0.0,3.0,0.0,5.0,5.0,4.5,3.0,4.5,5.0,3.5
2024-10-21,VRSN,VeriSign Inc,10,7,10,4,10,Technology,Software - Infrastructure,187.04,187.48,185.46,187.17,187.72,-0.55,-0.29,454900,531050.0,220.91,167.05,-0.49,3.34,4.16,-5.64,-7.14,-16.04,18511113000.0,0.0,1.5,3.0,2.5,3.0,3.0,2.5,2.5,2.5,2.5,0.0,0.0,0.0,5.0,3.5,2.0,1.0,3.5,2.5,0.5
2024-10-21,MWA,Mueller Water Products Inc,10,10,8,10,8,Industrials,Industrial - Machinery,22.61,22.62,22.26,22.26,22.5,-0.24,-1.07,775000,1379940.0,23.12,12.13,-2.07,13.75,25.9,63.8,57.54,63.68,3467439000.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,2.5,3.0,2.5,3.0,3.0,3.0,3.0,4.5,5.0,5.0,4.5,5.0,5.0
2024-10-21,HIW,Highwoods Properties Inc,10,9,10,10,8,Real Estate,REIT - Office,36.27,36.33,35.54,35.58,36.37,-0.79,-2.17,817300,667045.0,36.55,17.06,5.86,11.92,39.31,63.66,52.57,64.19,3772397640.0,2.5,3.0,3.0,3.0,2.5,3.0,3.0,0.0,3.0,3.0,3.0,0.0,3.5,3.5,5.0,5.0,5.0,3.5,4.5,5.0
2024-10-21,PNW,Pinnacle West Capital Corp,10,10,10,7,10,Utilities,Regulated Electric,88.08,88.08,86.93,87.46,87.92,-0.46,-0.52,1060100,1233545.0,91.57,65.2,1.82,-2.46,13.7,28.98,19.46,8.43,9941490800.0,3.5,3.5,3.5,3.5,0.0,0.0,4.0,5.0,4.0,4.0,0.0,4.0,3.5,4.0,3.5,4.5,2.5,1.0,2.0,1.5
2024-10-21,OGE,OGE Energy Corp,10,9,9,9,10,Utilities,Regulated Electric,41.14,41.19,40.67,40.8,41.15,-0.35,-0.85,692500,867960.0,41.48,32.06,2.41,2.0,15.45,25.0,15.22,7.45,8192639999.0,3.0,2.5,3.0,3.5,0.0,0.0,3.5,4.0,3.0,4.0,3.0,3.0,3.0,4.5,4.5,4.5,3.0,2.5,4.0,2.5
2024-10-21,PRM,Perimeter Solutions SA,10,9,9,10,4,Basic Materials,Chemicals - Specialty,13.48,13.52,13.06,13.2,13.5,-0.3,-2.22,380500,690795.0,13.73,2.79,2.17,18.6,76.71,176.15,187.58,80.57,1915669777.0,3.5,3.0,3.0,2.0,2.5,3.0,3.0,5.0,3.0,0.0,3.0,3.5,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-10-21,SSNC,SS&C Technologies Holdings Inc,10,10,7,9,10,Technology,Software - Application,76.52,76.78,75.53,76.13,76.68,-0.55,-0.72,980300,1233550.0,77.02,46.61,0.91,3.68,25.36,25.92,26.0,37.52,18740744000.0,3.0,3.0,2.5,3.5,3.0,3.0,3.0,2.5,3.0,0.0,2.5,0.0,3.0,2.5,4.5,4.5,4.5,4.5,4.5,5.0
2024-10-21,INGR,Ingredion Inc,10,9,8,10,10,Consumer Defensive,Packaged Foods,134.35,135.18,133.39,133.93,134.26,-0.33,-0.25,277900,293190.0,138.37,89.54,0.39,-1.14,16.71,21.1,22.1,21.83,8802486000.0,3.0,3.0,2.5,3.0,3.0,3.5,3.0,0.0,0.0,2.5,2.5,0.0,3.0,3.5,5.0,4.5,5.0,5.0,5.0,4.5
2024-10-21,YOU,Clear Secure Inc,10,10,10,10,5,Technology,Software - Application,36.25,36.6,35.65,36.56,36.05,0.51,1.41,1563900,1676250.0,37.9,16.05,6.96,20.7,104.13,89.14,78.86,46.18,3396105160.0,2.5,3.0,2.5,5.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,0.0,3.5,3.0,5.0,5.0,4.5,5.0,5.0,4.5
2024-10-21,IBKR,Interactive Brokers Group Inc,10,8,9,10,9,Financial Services,Financial - Capital Markets,148.98,150.02,148.02,149.64,148.81,0.83,0.56,728300,1058125.0,154.75,72.6,-0.99,22.61,23.39,57.42,76.98,95.02,16271283033.0,3.5,2.0,3.0,2.5,3.0,3.0,0.0,0.0,4.5,0.0,3.0,3.0,3.0,2.5,5.0,5.0,5.0,5.0,4.5,4.0
2024-10-21,PRG,PROG Holdings Inc,10,8,10,9,6,Industrials,Rental & Leasing Services,48.4,48.4,46.95,47.03,48.23,-1.2,-2.49,273200,260155.0,50.28,26.39,-2.0,6.0,34.26,52.65,50.45,50.21,2020603200.0,3.0,3.5,3.0,2.5,2.5,3.0,4.5,0.0,3.0,0.0,0.0,0.0,3.0,4.5,5.0,4.5,3.5,4.5,4.0,3.5
2024-10-21,TMUS,T-Mobile US Inc,10,7,9,10,10,Communication Services,Telecommunications Services,222.74,223.91,221.29,222.77,223.21,-0.44,-0.2,4613400,3004610.0,223.91,136.85,4.57,13.37,27.22,37.5,37.59,56.85,260646661277.0,2.5,3.0,3.0,2.5,2.5,3.0,3.0,2.5,3.0,3.0,2.5,3.0,3.5,3.5,5.0,5.0,5.0,4.5,5.0,5.0
2024-10-21,GVA,Granite Construction Inc,10,8,9,10,10,Industrials,Engineering & Construction,82.52,84.06,82.23,83.69,82.23,1.46,1.78,1069000,591450.0,84.06,33.74,2.34,15.63,33.69,88.87,66.15,125.09,3688703200.0,3.0,3.5,3.0,3.0,0.0,0.0,2.5,5.0,2.5,2.5,0.0,4.0,3.0,3.0,5.0,5.0,5.0,4.5,4.5,4.5
2024-10-21,FISI,Financial Institutions Inc,10,10,10,10,5,Financial Services,Banks - Regional,25.98,25.98,25.14,25.18,26.21,-1.03,-3.93,23800,28585.0,27.75,15.22,-1.29,-0.63,44.88,29.06,17.44,58.36,388571040.0,3.0,3.0,3.0,4.0,3.0,4.5,0.0,3.0,3.5,2.5,3.0,0.0,4.0,3.0,4.0,5.0,4.5,5.0,5.0,4.0
2024-10-21,K,Kellanova Co,10,4,10,10,10,Consumer Defensive,Packaged Foods,81.0,81.26,80.85,81.17,81.05,0.12,0.15,2157600,1625565.0,81.26,49.28,0.77,1.46,38.21,49.98,40.53,22.53,27760140000.0,2.5,2.5,2.5,3.5,3.0,2.5,3.0,0.0,3.0,2.5,2.5,0.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-10-21,TTEK,Tetra Tech Inc,10,9,6,9,9,Industrials,Engineering & Construction,48.87,49.39,48.82,49.13,48.83,0.3,0.61,1570700,1468525.0,50.03,28.67,-0.34,5.88,16.08,48.92,46.06,70.27,2629727100.0,3.5,3.5,3.0,5.0,3.0,3.0,3.0,2.5,2.5,2.5,2.5,2.0,3.0,3.0,5.0,4.0,4.5,3.5,2.5,2.5
2024-10-21,SO,Southern Co,10,4,10,10,10,Utilities,Regulated Electric,93.42,93.73,92.61,92.73,93.24,-0.51,-0.55,3188100,4107250.0,93.73,64.53,4.24,3.45,17.84,38.03,30.88,22.56,101632080000.0,1.0,2.0,3.0,2.5,2.0,3.5,3.0,0.0,2.5,2.5,3.0,2.5,4.0,4.5,4.5,5.0,4.5,3.5,5.0,5.0
2024-10-21,EVRG,Evergy Inc,10,8,8,8,10,Utilities,Regulated Electric,61.18,61.29,60.64,61.2,61.12,0.08,0.13,1972800,1865885.0,62.58,47.46,3.13,1.32,15.56,23.21,14.54,-3.04,14094360000.0,3.5,3.0,3.0,3.5,0.0,0.0,3.5,3.5,2.5,3.0,0.0,3.0,3.0,3.5,4.5,4.5,3.5,2.0,2.5,2.5
2024-10-21,MLI,Mueller Industries Inc,10,5,10,10,8,Industrials,Manufacturing - Metal Fabrication,72.36,72.47,71.25,72.08,72.23,-0.15,-0.21,863800,641845.0,74.99,34.96,-1.04,7.37,27.35,49.36,54.71,90.89,8015337119.0,2.5,2.0,3.5,2.5,2.5,2.5,3.0,3.0,2.5,2.5,0.0,4.5,4.0,3.5,4.0,4.5,5.0,4.0,4.5,5.0
2024-10-21,AXS,Axis Capital Holdings Ltd,10,9,8,9,10,Financial Services,Insurance - Property & Casualty,82.88,83.18,81.97,82.0,82.85,-0.85,-1.03,290700,555525.0,83.2,52.9,1.74,7.25,18.77,40.19,48.34,49.06,6926950000.0,3.5,3.0,3.0,3.5,3.0,3.5,0.0,3.0,0.0,0.0,2.5,2.5,3.0,3.0,4.5,5.0,4.0,4.0,5.0,3.5
2024-10-21,PPC,Pilgrims Pride Corp,10,6,10,10,7,Consumer Defensive,Packaged Foods,45.49,45.7,44.6,44.65,45.39,-0.74,-1.63,596800,1659500.0,49.07,23.15,0.16,3.72,28.05,65.68,57.22,99.24,10579504950.0,2.5,3.5,2.5,2.0,3.0,4.0,3.0,3.0,3.0,2.5,3.0,3.5,3.5,3.5,4.5,4.0,5.0,4.5,4.5,5.0
2024-10-21,SFM,Sprouts Farmers Market Inc,10,1,10,10,8,Consumer Defensive,Grocery Stores,115.96,117.48,115.19,117.42,115.8,1.62,1.4,960900,877375.0,117.98,39.76,1.12,15.63,55.13,129.25,139.44,221.43,11796013200.0,1.0,1.0,2.5,2.0,2.5,2.5,2.5,3.0,0.0,0.0,0.0,0.0,4.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0
2024-10-21,IIPR,Innovative Industrial Properties Inc,10,9,10,9,9,Real Estate,REIT - Industrial,132.84,133.48,130.43,130.9,133.18,-2.28,-1.71,124400,144800.0,138.35,69.08,0.02,4.86,23.18,44.08,29.36,81.48,3699165382.0,3.5,2.5,3.0,3.5,3.0,2.5,3.0,3.5,3.0,3.0,0.0,0.0,3.0,3.5,4.0,4.5,4.5,4.5,5.0,5.0
2024-10-21,DOCU,DocuSign Inc,10,3,10,7,5,Technology,Software - Application,72.2,72.95,71.51,71.78,72.3,-0.52,-0.72,2789700,5192600.0,73.8,38.11,4.2,31.56,40.25,34.9,25.89,43.53,14686475120.0,2.5,3.0,2.5,2.5,2.5,3.0,3.0,3.0,5.0,3.0,0.0,3.5,4.5,2.5,4.5,2.5,3.5,4.0,3.5,4.0
2024-10-21,NOC,Northrop Grumman Corp,10,10,7,8,10,Industrials,Aerospace & Defense,533.73,536.89,525.83,529.65,530.79,-1.14,-0.21,579700,595630.0,555.57,418.6,0.18,1.86,25.09,19.75,12.67,19.55,78121900000.0,2.5,3.0,3.0,3.5,3.0,3.0,2.5,2.5,3.0,3.0,3.0,0.0,3.0,3.0,5.0,3.5,2.0,4.5,3.0,1.5
2024-10-21,CLX,Clorox Co,10,6,10,8,10,Consumer Defensive,Household & Personal Products,161.96,162.18,160.06,160.39,161.96,-1.57,-0.97,791000,938275.0,169.09,114.69,0.06,-3.94,20.77,3.87,10.85,-4.83,19936477000.0,2.5,3.0,3.0,3.5,3.0,2.5,3.0,2.5,3.0,3.0,2.5,0.0,3.0,4.0,5.0,3.0,3.5,5.0,4.0,4.5
2024-10-21,CL,Colgate-Palmolive Co,10,3,10,9,10,Consumer Defensive,Household & Personal Products,100.0,100.49,99.19,99.36,100.46,-1.1,-1.09,2456300,4110915.0,109.3,71.47,-0.74,-7.0,4.85,18.16,23.09,22.52,81478180000.0,0.5,2.0,3.0,3.0,2.5,2.5,3.0,0.0,3.0,2.5,2.5,0.0,5.0,4.5,3.0,4.5,5.0,3.5,5.0,5.0
2024-10-21,T,AT&T Inc,10,10,8,9,10,Communication Services,Telecommunications Services,21.88,21.97,21.65,21.66,21.85,-0.19,-0.87,29353800,27310290.0,22.34,14.74,1.36,-0.23,22.58,22.17,25.57,27.11,155865360000.0,3.0,3.0,3.0,3.0,2.5,3.5,3.0,0.0,3.0,3.0,2.5,0.0,3.0,3.0,4.5,5.0,4.5,3.5,4.5,4.5
2024-10-21,OHI,Omega Healthcare Investors Inc,10,6,10,9,10,Real Estate,REIT - Healthcare Facilities,41.49,41.73,41.17,41.32,41.61,-0.29,-0.7,1423300,1273190.0,41.73,27.53,3.87,2.58,28.68,47.94,33.94,40.98,10303803120.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,2.5,2.5,0.0,3.5,3.0,4.5,5.0,3.0,4.0,4.5,2.5
2024-10-21,AGX,Argan Inc,10,6,9,10,6,Industrials,Engineering & Construction,129.55,132.41,128.93,129.3,128.79,0.51,0.4,296900,311865.0,135.85,39.74,12.3,44.5,68.64,190.5,173.88,215.52,1731801630.0,2.5,2.5,3.0,4.0,3.0,3.5,2.5,4.5,2.5,2.5,3.0,5.0,3.0,3.5,5.0,5.0,5.0,5.0,5.0,5.0
2024-10-21,LPX,Louisiana-Pacific Corp,10,9,8,9,9,Industrials,Construction,104.48,105.54,102.98,103.07,105.16,-2.09,-1.99,433200,645680.0,109.73,49.47,-1.56,9.37,10.09,57.89,47.81,62.16,7421760000.0,2.5,3.0,3.0,3.5,2.5,3.0,3.5,3.0,2.5,2.5,2.5,2.5,3.0,3.5,4.0,4.5,5.0,3.5,4.5,4.5
2024-10-21,TCMD,Tactile Systems Technology Inc,10,9,10,5,6,Healthcare,Medical - Devices,14.58,14.62,14.18,14.42,14.65,-0.23,-1.57,114000,138690.0,16.95,9.69,1.84,8.83,21.07,-1.9,1.26,-31.28,344731592.0,3.0,3.5,3.0,2.5,3.0,3.5,3.0,4.0,3.0,4.0,5.0,3.0,3.0,3.5,3.5,2.0,2.5,4.5,2.5,2.5
2024-10-21,PINC,Premier Inc,10,10,10,3,9,Healthcare,Medical - Healthcare Information Services,20.26,20.33,19.84,19.87,20.26,-0.39,-1.92,905000,727645.0,23.01,17.95,2.69,0.05,7.64,-5.16,-12.58,-27.51,2084179440.0,3.5,3.0,3.0,4.5,3.0,3.0,3.0,2.5,3.5,3.5,0.0,3.5,3.0,3.0,2.0,1.0,1.0,3.0,2.5,2.5
2024-10-21,PHM,PulteGroup Inc,10,6,9,10,8,Consumer Cyclical,Residential Construction,148.75,149.47,143.83,144.26,149.04,-4.78,-3.21,2391400,1365740.0,149.47,68.8,3.64,8.71,24.93,38.25,42.06,112.77,30225059280.0,3.0,2.5,3.0,3.0,3.0,3.5,3.5,3.0,2.5,2.5,3.0,2.5,2.5,4.0,4.5,4.5,5.0,4.5,4.5,5.0
2024-10-21,IESC,IES Holdings Inc,10,7,10,10,2,Industrials,Engineering & Construction,228.42,231.5,226.58,228.72,228.86,-0.14,-0.06,62300,118505.0,234.81,59.75,4.06,54.06,66.57,167.07,195.35,365.64,4625656609.0,2.0,3.0,3.0,2.5,3.0,2.5,2.5,2.5,2.5,2.5,2.5,3.0,4.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0
2024-10-21,AVB,AvalonBay Communities Inc,10,8,9,8,10,Real Estate,REIT - Residential,226.31,226.54,222.9,224.15,227.14,-2.99,-1.32,606800,655460.0,236.26,160.45,2.06,-2.27,12.13,31.86,19.12,24.42,31830388696.0,2.5,1.5,3.0,2.5,2.5,3.0,2.5,2.5,3.0,3.0,0.0,3.5,2.5,3.0,4.0,4.5,3.5,5.0,5.0,4.0
2024-10-21,MAC,Macerich Co,10,9,10,7,4,Real Estate,REIT - Retail,18.85,18.86,18.43,18.46,18.89,-0.43,-2.28,1780900,1320835.0,18.94,9.21,1.82,19.25,24.48,17.36,18.71,90.11,3992844599.0,3.0,3.5,3.0,2.5,3.0,3.0,2.5,3.0,2.5,4.0,2.5,4.5,4.5,2.0,4.0,2.5,4.0,3.0,0.5,4.0
2024-10-21,VMI,Valmont Industries Inc,10,10,9,8,10,Industrials,Conglomerates,305.0,306.19,299.9,301.91,305.22,-3.31,-1.08,163800,98930.0,312.61,188.63,0.25,12.96,10.61,33.69,28.74,4.66,6091034250.0,3.0,3.0,3.0,2.5,3.0,3.5,2.5,3.5,3.0,3.0,5.0,0.0,3.0,3.5,3.5,5.0,3.5,4.0,4.5,3.5
2024-10-21,META,Meta Platforms Inc,10,9,10,8,5,Communication Services,Internet Content & Information,576.03,577.24,569.11,575.16,576.47,-1.31,-0.23,8158300,10651480.0,602.95,279.4,-2.51,13.94,14.1,25.2,66.09,146.77,1457455440000.0,2.5,3.0,3.0,3.0,3.0,3.0,2.5,2.5,3.0,2.5,0.0,3.0,3.5,3.5,4.5,2.5,4.5,4.5,3.5,4.5
2024-10-21,ASC,Ardmore Shipping Corp,10,8,10,3,7,Industrials,Marine Shipping,16.75,16.83,16.47,16.55,16.76,-0.21,-1.25,428100,406065.0,23.44,12.69,-6.34,-1.66,-23.02,1.6,15.73,29.2,690929019.0,2.5,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.5,4.5,5.0,1.0,2.0,2.5,2.0,3.5,2.0
2024-10-21,ABT,Abbott Laboratories,10,9,7,7,10,Healthcare,Medical - Devices,118.89,118.92,116.6,116.99,119.39,-2.4,-2.01,8303300,4928705.0,121.64,91.64,0.75,-0.1,13.09,4.78,6.5,5.69,204568440000.0,3.5,3.0,3.0,2.5,3.0,3.0,2.5,2.5,2.5,2.5,0.0,0.0,3.0,3.0,4.5,2.5,3.5,5.0,3.5,4.0
2024-10-21,HWKN,Hawkins Inc,10,5,10,10,6,Basic Materials,Chemicals - Specialty,126.89,128.3,124.11,124.52,126.55,-2.03,-1.6,112400,109800.0,135.61,53.64,-4.64,9.59,43.11,110.16,77.83,197.61,2592692459.0,2.5,3.0,3.0,2.5,2.5,3.0,2.5,3.0,3.0,4.0,0.0,4.0,3.0,3.5,5.0,5.0,5.0,5.0,5.0,5.0
2024-10-21,PJT,PJT Partners Inc,10,3,10,10,9,Financial Services,Financial - Capital Markets,148.49,148.54,146.3,147.01,148.49,-1.48,-1.0,181000,171285.0,151.1,71.47,1.93,23.76,44.97,49.2,46.38,133.35,3731314389.0,0.5,3.0,2.5,2.5,3.0,3.0,2.5,3.0,0.0,3.0,3.0,3.0,5.0,3.5,5.0,5.0,5.0,4.5,5.0,4.5
2024-10-21,VHI,Valhi Inc,10,8,6,10,3,Basic Materials,Chemicals,36.7,36.7,35.4,36.33,36.59,-0.26,-0.71,24600,20620.0,37.24,10.8,2.02,30.22,89.91,173.57,147.48,158.58,1035405000.0,3.5,3.5,3.5,2.5,2.5,3.0,3.5,2.5,2.5,3.0,2.5,0.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-10-21,CSL,Carlisle Companies Inc,10,3,10,9,9,Industrials,Construction,472.48,473.16,463.46,468.16,471.16,-3.0,-0.64,173300,296610.0,481.26,235.79,-0.44,17.97,13.19,48.84,51.02,124.66,22147752000.0,2.5,2.0,3.0,3.0,2.5,2.5,2.5,4.0,4.5,2.5,2.5,2.5,3.0,3.0,4.0,4.0,5.0,3.5,4.0,5.0
2024-10-21,CPF,Central Pacific Financial Corp,10,8,9,10,9,Financial Services,Banks - Regional,29.38,29.43,28.4,28.45,29.46,-1.01,-3.43,309700,217365.0,30.3,14.7,-2.83,6.43,42.39,50.13,44.05,103.07,769944004.0,2.5,3.0,3.0,3.5,3.0,3.0,3.0,4.0,3.0,2.5,3.0,0.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-10-21,ACIW,ACI Worldwide Inc,10,4,9,10,9,Technology,Software - Infrastructure,50.65,50.67,48.97,49.02,50.66,-1.64,-3.24,617300,639150.0,53.29,19.56,-6.91,4.16,38.2,69.5,61.36,100.16,5168570800.0,3.0,3.0,2.5,2.5,3.0,3.0,2.5,4.0,3.5,5.0,0.0,3.0,2.5,3.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-10-21,HLNE,Hamilton Lane Inc,10,3,10,10,7,Financial Services,Asset Management,180.33,181.32,178.73,179.13,180.92,-1.79,-0.99,217600,298465.0,181.96,78.66,2.51,20.57,51.52,50.47,60.24,169.77,7117434886.0,3.0,1.5,3.0,2.5,2.5,2.5,3.0,2.5,2.5,0.0,3.0,3.0,2.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-10-21,EMN,Eastman Chemical Co,10,10,7,8,9,Basic Materials,Chemicals - Specialty,108.68,108.97,106.98,107.82,108.84,-1.02,-0.94,513800,806205.0,114.5,68.89,-2.49,9.81,5.12,30.64,20.63,35.88,12648459000.0,3.0,3.0,3.0,4.0,2.5,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.5,4.0,3.5,4.5
2024-10-21,FTDR,Frontdoor Inc,10,7,9,10,8,Consumer Cyclical,Personal Products & Services,52.22,52.54,50.98,51.13,52.53,-1.4,-2.67,423300,608580.0,53.1,28.26,3.11,7.35,46.13,57.81,49.94,65.79,3973578000.0,2.0,3.0,3.0,2.0,2.5,3.0,3.0,2.5,3.0,3.0,2.5,3.0,3.0,3.0,5.0,5.0,4.5,5.0,5.0,5.0
2024-10-21,UHS,Universal Health Services Inc,10,8,8,10,8,Healthcare,Medical - Care Facilities,235.86,237.83,232.6,233.62,236.67,-3.05,-1.29,628200,821895.0,243.25,119.9,9.0,3.52,24.15,43.62,49.36,65.07,15624038360.0,3.0,3.0,2.5,2.5,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.5,5.0,5.0,4.5,4.5
